Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Bulgaria,BGR,4758.73190255565,3673.60687143429,4857.48728300161,4956.63331660078,5180.50799419498,5114.4214614101,5117.72120633147,5011.67072756549,5261.46440772794,5387.96542212904,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Burkina Faso,BFA,18.1235449304514,28.5940786275111,112.794646056738,108.612135513189,111.890743966382,117.475592867661,122.555380338625,130.36176787318,129.709864992171,131.191746177691,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Cambodia,KHM,..,31.9362276863663,343.398438647628,407.3727529447,436.809401288043,553.380308189697,650.494645326608,705.929171274907,725.390524089204,813.232441120437,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Cameroon,CMR,206.939378940066,182.328658169038,278.517097655035,251.426601872478,263.504709618266,275.453297645207,261.623741305755,259.742657901446,277.383977073951,283.68490442019,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Canada,CAN,16182.5057532847,16838.7390490629,15826.3252994063,15748.2789845465,15464.0536378705,15556.3324092012,15191.6497456903,14750.3310531395,14782.8716127233,14591.314180806,14148.3211494028,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Chad,TCD,12.368722309314,7.04879516706408,13.2444715766472,13.0337080138448,13.313909534161,14.0500457678694,14.3240518871099,13.9334962352564,16.5467513314386,14.467376229158,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Chile,CHL,1222.65273596178,2473.29094112445,3973.20977136881,4185.58466008595,4053.47998595604,4172.29678141718,4218.62068793083,4166.72173286725,4306.7208858565,4422.38228375379,4240.07831593276,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,China,CHN,510.619854913516,992.943384720171,4017.07781948893,4237.54530584599,4571.04242541442,4842.2067923237,5082.38779040238,5261.94103890582,5847.80226004701,6112.13553560996,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Colombia,COL,889.393915900734,857.433015875647,1512.94636527106,1478.42913852649,1533.06352290717,1466.90025072176,1502.82565004378,1470.27462790488,1569.1710661367,1548.65063830136,..,..
